counter,name,image,character_gender,character_major_or_minor,character_type,diagnosis,cause_of_death,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
141,Nancy Temple,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/2d/6x21NancyTemple.png/revision/latest/scale-to-width-down/350?cb=20130828124603,patient,"['Myocardial infarction', 'Ventricular wall rupture']",[],"['Nitroglycerin', 'Surgery']",Amy Benedict,single,['S-6-EP-21'],How_Insensitive,How Insensitive,How_Insensitive,How Insensitive,['6']
142,Craig Thomas,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/2c/9x05CraigThomas.png/revision/latest/scale-to-width-down/350?cb=20130519091612,attending,['No diagnosis available'],[],['No treatment available'],William Daniels,multiple,"['S-8-EP-22', 'S-9-EP-1', 'S-9-EP-3', 'S-9-EP-4', 'S-9-EP-5', 'S-9-EP-5']",Let_the_Bad_Times_Roll,Let the Bad Times Roll,Beautiful_Doom,Beautiful Doom,"['8', '9']"
143,Kendra Thomas,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/7/70/225KendraThomas.png/revision/latest/scale-to-width-down/350?cb=20130414001925,patient,"['Gunshot wound', 'Hematoma', 'Pregnancy']",[],"['Surgery', 'Life support', 'Organ donation']",Jennifer Nyholm,single,['S-2-EP-25'],17_Seconds,17 Seconds,17_Seconds,17 Seconds,['2']
144,Giselle Toussant,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/d/d5/301GiselleToussant.png/revision/latest/scale-to-width-down/350?cb=20130415014614,patient,"['Car accident injuries', 'Plague', 'Dural laceration']",[],['Surgery'],Elizabeth Goldstein,single,['S-3-EP-1'],Time_Has_Come_Today,Time Has Come Today,Time_Has_Come_Today,Time Has Come Today,['3']
145,Stu Vargas,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/55/208StuVargas.png/revision/latest/scale-to-width-down/350?cb=20130407181629,patient,['Open tibia/fibula fracture'],[],['Debridement'],Geoffrey Rivas,single,['S-2-EP-8'],Let_It_Be,Let It Be,Let_It_Be,Let It Be,['2']
146,Blair Vinson,andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/6/6b/11x16BlairVinson.png/revision/latest/scale-to-width-down/350?cb=20150322173115,patient,"['Pregnancy', 'Scalp laceration', 'Seizure', 'Extradural hematoma']",[],"['Rapid sequence intubation', 'C-section delivery']",Mekia Cox,single,['S-11-EP-16'],Don%27t_Dream_It%27s_Over,Don't Dream It's Over,Don%27t_Dream_It%27s_Over,Don't Dream It's Over,['11']
147,Vivian,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/b/bb/6x23NurseVivian.png/revision/latest/scale-to-width-down/350?cb=20130716104856,nurse,['No diagnosis available'],[],['No treatment available'],Ingrid Walters,single,['S-6-EP-23'],Sanctuary,Sanctuary,Sanctuary,Sanctuary,['6']
149,Mr. Warren,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/9/90/9x10MrWarren.png/revision/latest/scale-to-width-down/350?cb=20130331101713,family,['No diagnosis available'],[],['No treatment available'],Kelly LaMarr,single,['S-9-EP-10'],Things_We_Said_Today,Things We Said Today,Things_We_Said_Today,Things We Said Today,['9']
150,Jeremy Weaver,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/d/d4/11x06JeremyWeaver.png/revision/latest/scale-to-width-down/350?cb=20141109122444,patient,['Adenocarcinoma'],[],['Esophagectomy'],James McCauley,single,['S-11-EP-6'],Don%27t_Let%27s_Start,Don't Let's Start,Don%27t_Let%27s_Start,Don't Let's Start,['11']
151,Adele Webber,female,major,https://vignette.wikia.nocookie.net/greysanatomy/images/f/f9/8x20-1.png/revision/latest/scale-to-width-down/334?cb=20130420205252,family,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Adele_Webber?action=edit&amp;section=12"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>While Richard and Bailey were being driven to Bailey\'s wedding in a limo, Richard got a phone call from the hospital. They informed him that Adele was coming to the ER. Bailey then ordered the limo driver to take them to the hospital immediately. Right after her arrival, she started to take care of Adele. Richard wanted to do it at first, but he wasn\'t allowed because he was a family member. <i>(""<a href=""/wiki/Run,_Baby,_Run"" title=""Run, Baby, Run"">Run, Baby, Run</a>"")</i>\n</p><p>Bailey postponed her wedding, which led to Meredith coming back to the hospital to take over from Bailey. However, Bailey didn\'t want to leave Adele and they operated on her together. During surgery, they ran out of options, but Richard came with an idea that they used to successfully fix the aneurysm.\n</p>']",['No treatment available'],Loretta Devine,multiple,"['S-2-EP-2', 'S-2-EP-17', 'S-2-EP-26', 'S-3-EP-1', 'S-3-EP-13', 'S-3-EP-24', 'S-3-EP-25', 'S-4-EP-14', 'S-4-EP-4', 'S-4-EP-17', 'S-5-EP-17', 'S-6-EP-9', 'S-7-EP-17', 'S-7-EP-19', 'S-7-EP-15', 'S-7-EP-16', 'S-8-EP-12', 'S-8-EP-20', 'S-8-EP-13', 'S-8-EP-16', 'S-9-EP-9', 'S-9-EP-10', 'S-9-EP-10']",Enough_is_Enough,Enough is Enough,Things_We_Said_Today,Things We Said Today,"['2', '3', '4', '5', '6', '7', '8', '9']"
152,Gail Webber,mostly_female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/9/95/13x08GailWebber.png/revision/latest/scale-to-width-down/350?cb=20161112142243,family,['No diagnosis available'],[],['No treatment available'],Monique Cash,single,['S-13-EP-8'],The_Room_Where_It_Happens,The Room Where It Happens,The_Room_Where_It_Happens,The Room Where It Happens,['13']
153,Mickey Wenschler,mostly_male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/e/e4/10x06-7.jpg/revision/latest/scale-to-width-down/350?cb=20131008031723,patient,"['Quadriplegia', 'Glioma']","['<h3><span class=""mw-headline"" id=""Tumor_and_Death"">Tumor and Death</span><span class=""editsection""><a href=""/wiki/Mickey_Wenschler?action=edit&amp;section=4"" title=""Edit Tumor and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Mickey\'s progress in the trial was halted when it was discovered that he had low activity in his temporal lobe due to a brain tumor. It went into the brain stem, meaning that neither embolization glue nor removal was an option. He asked Derek to allow him to continue the trial, but Derek declined, saying that the tumor could affect the results and bias the trial and that it couldn\'t be removed. Mickey then declined consent for Derek to remove the sensors unless he also agreed to remove the tumor. Since Callie had a previous relationship with Mickey as he was originally her patient, Derek asked her to talk to Mickey and convince him to let Derek remove the sensors.\n</p><p>When Callie went to Mickey, he told her the story of how he became paralyzed. He told her about how he wanted to do the trial so that he could help other people and feel like less of a burden. She went back and convinced Derek to try to remove the tumor.\n</p>']",['Brain Mapping'],Jay Cramer,single,['S-10-EP-6'],Map_of_You,Map of You,Map_of_You,Map of You,['10']
154,Clark West,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/3d/402ClarkWest.png/revision/latest/scale-to-width-down/350?cb=20130426135926,patient,"['Meth withdrawal', 'Internal bleeding', 'Cardiomyopathy']",[],['No treatment available'],Nicholas Gonzalez,single,['S-4-EP-2'],Love/Addiction,Love/Addiction,Love/Addiction,Love/Addiction,['4']
155,Jeremy West,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/9/91/4x16-20.jpg/revision/latest/scale-to-width-down/350?cb=20140904180218,patient,"['Malignant glioma', 'Seizure']",[],"['Chemotherapy', 'Radiation', 'Clinical trial', 'Surgery']",Marshall Allman,single,['S-4-EP-16'],"Freedom,_Part_1","Freedom, Part 1","Freedom,_Part_1","Freedom, Part 1",['4']
157,Rory Williams,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/1/10/10x14RoryWilliams.png/revision/latest/scale-to-width-down/350?cb=20140309153708,patient,"['Li-Fraumeni Syndrome', 'Osteosarcoma']","['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Rory_Williams?action=edit&amp;section=5"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Rory became unresponsive and wasn\'t breathing properly, so she was rushed into surgery. Despite the doctors\' best efforts, Rory bled out into her chest and died. When the doctors came to tell the Williams family, they were distraught and it prompted Ariel to ask the doctors if she also had Li-Fraumeni, which she did.\n</p>\n<h2><span class=""mw-headline"" id=""Relationships"">Relationships</span><span class=""editsection""><a href=""/wiki/Rory_Williams?action=edit&amp;section=6"" title=""Edit Relationships section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h2>\n<h3><span class=""mw-headline"" id=""Familial"">Familial</span><span class=""editsection""><a href=""/wiki/Rory_Williams?action=edit&amp;section=7"" title=""Edit Familial section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<h4><span class=""mw-headline"" id=""Ariel_Williams""><a href=""/wiki/Ariel_Williams"" title=""Ariel Williams"">Ariel Williams</a></span><span class=""editsection""><a href=""/wiki/Rory_Williams?action=edit&amp;section=8"" title=""Edit Ariel Williams section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h4>\n<p>Rory got along well with her sister, Ariel. Ariel was with her when she became unresponsive, prompting the surgery in which she died. After her death, her sister said she\'d always wanted to be like her.\n</p>']",['Surgery'],Hayley McFarland,single,['S-10-EP-14'],You%27ve_Got_to_Hide_Your_Love_Away,You've Got to Hide Your Love Away,You%27ve_Got_to_Hide_Your_Love_Away,You've Got to Hide Your Love Away,['10']
161,Brian Young,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/f/fb/13x16BrianYoung.png/revision/latest/scale-to-width-down/350?cb=20170318022305,patient,"['Brain death', 'Throat lesion']",[],['Organ harvest'],No actor listed.,single,['S-13-EP-16'],Who_Is_He_(And_What_Is_He_To_You)%3F,Who Is He (And What Is He To You)?,Who_Is_He_(And_What_Is_He_To_You)%3F,Who Is He (And What Is He To You)?,['13']
162,Dylan Young,mostly_male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/a/a3/317DylanYoung.png/revision/latest/scale-to-width-down/350?cb=20130421025418,others,['No diagnosis available'],[],['No treatment available'],Kyle Chandler,multiple,"['S-2-EP-16', 'S-2-EP-17', 'S-3-EP-16', 'S-3-EP-17', 'S-3-EP-17']",It%27s_the_End_of_the_World,It's the End of the World,Some_Kind_of_Miracle,Some Kind of Miracle,"['2', '3']"
163,Yvonne,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/d/d1/206Yvonne.png/revision/latest/scale-to-width-down/350?cb=20130407011838,patient,['Massive internal bleeding'],[],['Attempted resuscitation'],Kym Whitley,single,['S-2-EP-6'],Into_You_Like_a_Train,Into You Like a Train,Into_You_Like_a_Train,Into You Like a Train,['2']
